task_idx,bin_start_utc,bin_end_utc,x_Delta,x_Theta,x_Alpha,x_Beta,x_Gamma,theta_h,radius,dtheta,d2theta,kappa_torus,dr,d2r,kappa_geom
11,2026-01-31 14:55:19.756500+00:00,2026-01-31 14:55:20.006500+00:00,11512.0485903935,120.23471145236059,45.6226129416741,21.69632318571404,14.75511636080536,0.34758545469593227,0.6390085379549106,0.5693931031564299,0.48645990742797696,0.48645990742797696,0.09420615677302135,-0.11589978930994471,0.11589978930994471
11,2026-01-31 14:55:19.881500+00:00,2026-01-31 14:55:20.131500+00:00,10877.490912158784,76.15309977100742,44.78156209186355,13.445330553849026,8.870870431256437,0.922145192882073,0.7652667201707742,0.5745597381861407,0.005166635029710821,0.005166635029710821,0.1262581822158636,0.03205202544284225,0.03205202544284225
11,2026-01-31 14:55:20.006500+00:00,2026-01-31 14:55:20.256500+00:00,7474.4833752535,25.917569319197128,23.08303182113182,9.333358026039651,6.846898946242008,1.0323040437697406,0.6575190986437655,0.11015885088766764,-0.464400887298473,0.464400887298473,-0.10774762152700879,-0.2340058037428724,0.2340058037428724
12,2026-01-31 14:55:24.408000+00:00,2026-01-31 14:55:24.658000+00:00,1736.4034887280354,10.482552196206148,4.489080870106842,4.88740148494853,15.699629258602956,-0.5290208850705725,0.43067440752185565,-1.561324928840313,-1.6714837797279807,1.6714837797279807,-0.2268446911219098,-0.11909706959490102,0.11909706959490102
12,2026-01-31 14:55:24.533000+00:00,2026-01-31 14:55:24.783000+00:00,1275.9388844446262,12.953797942459511,3.3819610544345378,3.9265111334048814,15.359988981021448,-0.47240415553243853,0.3988263421079402,0.056616729538134014,1.617941658378447,1.617941658378447,-0.03184806541391544,0.19499662570799436,0.19499662570799436
12,2026-01-31 14:55:24.658000+00:00,2026-01-31 14:55:24.908000+00:00,885.1855654973641,11.90113770158938,2.7055330947226057,7.775984852576059,10.127764743989637,0.8677813655647383,0.25381755056770716,1.340185521097177,1.283568791559043,1.283568791559043,-0.14500879154023305,-0.11316072612631761,0.11316072612631761
12,2026-01-31 14:55:24.783000+00:00,2026-01-31 14:55:25.033000+00:00,666.6784275990171,11.813794575052327,3.6796669134679094,12.671297350862222,7.50095191050141,1.4895746158143983,0.3683311740748239,0.62179325024966,-0.7183922708475169,0.7183922708475169,0.11451362350711675,0.2595224150473498,0.2595224150473498
12,2026-01-31 14:55:24.908000+00:00,2026-01-31 14:55:25.158000+00:00,486.5009823218056,10.049306197172946,3.1394046929817057,12.18776111364414,8.542654401608846,1.3870369832673477,0.286765566682158,-0.10253763254705062,-0.7243308827967107,0.7243308827967107,-0.08156560739266588,-0.19607923089978263,0.19607923089978263
12,2026-01-31 14:55:25.033000+00:00,2026-01-31 14:55:25.283000+00:00,373.4915680403647,5.240624384872255,1.4671144878914615,10.527593961786165,9.574946023135915,1.1163536122271311,0.21446995456977377,-0.27068337104021656,-0.16814573849316594,0.16814573849316594,-0.07229561211238425,0.009269995280281634,0.009269995280281634
12,2026-01-31 14:55:25.158000+00:00,2026-01-31 14:55:25.408000+00:00,326.36426177745074,3.7142452018728633,1.3598627392430451,16.77157183554953,8.031843012774784,1.6137753133614328,0.2632128499362073,0.4974217011343016,0.7681050721745182,0.7681050721745182,0.04874289536643353,0.12103850747881778,0.12103850747881778
