label,event_task,J,dh,kappa_E,kappa_Q
P10,20,0.02705041566090205,0.019974234823726636,1.2359476961952178,3.6801733819640887
P10,22,0.08266037572748502,-0.006945511415002092,0.3464818870485822,2.157716411365223
P10,23,-0.011629979827864512,0.012900730660111506,0.7365112336232724,0.3397028109830016
P10,26,-0.2856493502063494,-0.02881485076997222,0.9354287377545116,7.2016429147709315
P11,1,0.10195852561850521,0.03787953458314601,0.9323927705399523,
P11,3,-0.17899019861213267,-0.02302991743375049,0.4016350825833102,5.337375219219912
P11,5,0.1869345805379653,0.00556481546684584,0.9095415343827721,5.286505770416725
P11,6,-0.12732599530030125,-0.014631698085686005,0.6282148972797788,14.034677979578756
P11,12,0.19843729402097748,0.044612370254267376,1.3384859536360534,11.766018536827294
P11,14,-0.14026735775407884,-0.022569745946582478,0.5545282080198295,1.7256425782682432
P11,19,0.19972140993998344,0.020885716022743032,0.7966319262180174,2.8845882188020515
P11,21,-0.07554998260370727,-0.015883527848046575,1.2121250784392177,2.402136784482964
P11,22,0.13857634502872057,0.037675163269094,0.856686169825559,8.973661776747061
P11,25,-0.15428075698222293,-0.024454150040778097,1.144772159372146,1.234796419173716
P12,3,-0.015404880859721415,0.015633617376822673,1.2138930865718436,3.633550329779647
P12,4,-0.1361047243556779,-0.01254095710559716,1.6844946790994444,8.990733594566727
P12,6,0.26977880365223533,0.046146742612644696,1.2340060119070484,4.567957866187255
P12,11,-0.10809105954739079,-0.014295057416608033,1.3054032173374643,9.617392087598317
P12,13,0.21350067302194442,0.03101171324683,0.9269237469224266,0.3754603243221054
P12,14,-0.19664353144134372,-0.03271896397428969,0.4308872630536069,4.450140777507814
P13,1,-0.0709640369314537,-0.014874877084540886,0.6277589710357707,
P13,2,0.1295608885576473,0.00634035009761046,0.5127399295333551,1.2053113003009217
P13,3,-0.16673481261917011,-0.018443536179017315,0.7701532358613128,12.839875774890254
P13,4,0.06613247886789075,0.0186105464451496,1.054542961605976,13.884257383615436
P13,5,-0.03571640230692941,-0.005174944214723228,0.8811922266132827,19.04123216206862
P13,6,0.07451104520206603,0.012965460959992719,0.688859167582648,5.90195381314304
