t,valid,kappa,mq,a,kL,kS,mqL,g,h
184,True,0.3473517877245398,-1.3168617770293873,0.47101466908633854,0.6098270787930286,-0.0017409304413590419,0.06358512959312936,-0.004454551798178186,0.0002019308519590618
185,True,2.9240623828268215,-1.3168617770293873,0.6020420982498293,0.6098270787930286,-0.011453178939674227,0.06358512959312936,-0.0010369520748037535,0.0372014178412397
186,True,2.920199743024971,-1.3168617770293873,0.4872314088687102,0.5780421687299623,-0.003677439768839033,0.06358512959312936,-0.0035087871869550614,0.004195938313922398
187,True,0.1147618907866832,-1.3168617770293873,0.24408327415577338,0.5286065019149684,0.007029353579422718,0.06358512959312936,-0.006865227673409635,-0.019560235377459625
188,True,0.1499618050848843,-1.3168617770293873,0.31088980420708456,0.5286065019149684,-0.0014157241640112112,0.06358512959312936,-0.003893527004420148,-0.01566670732045835
189,True,2.3765685039381337,-1.3168617770293873,0.4552002375960109,0.5286065019149684,-0.010796757403854895,0.06358512959312936,-0.0005924771382621941,0.0013644801915051671
190,True,1.9199175000152768,-1.3168617770293873,0.3027163025578433,0.43767303325696216,-0.0036503455735283903,0.06358512959312936,-0.0023509599060061227,-0.014393701831816094
191,True,0.0841129830830518,-1.3168617770293873,0.3707181204542172,0.43767303325696216,0.004117486478589756,0.06358512959312936,-0.005084347615056532,-0.013356914623200267
192,True,0.5828539281645312,-1.3168617770293873,0.3563747404011183,0.5286065019149684,0.005966220373524358,0.06358512959312936,-0.006491126480362659,-0.01586123543606169
193,True,0.6477948340161921,-1.3168617770293873,0.3581225773731936,0.5286065019149684,0.014872237930893527,0.06358512959312936,-0.009625025200696344,-0.018870503941254974
194,True,0.2937208675342435,-1.3168617770293873,0.3498515644952961,0.43767303325696216,0.01031589049702765,0.06358512959312936,-0.007265476306569225,-0.01707881953184242
195,True,1.2910982658390364,0.20952658284322984,0.3248681966002882,0.43767303325696216,0.004088563624882478,0.06358512959312936,-0.005074170081311762,-0.01627550288191574
196,True,0.696456183935491,0.20952658284322984,0.38073693966711547,0.43767303325696216,0.008342378533576424,-0.08235632365697113,-0.006581093161090736,-0.013983892234009858
197,True,0.0662960773072424,0.20952658284322984,0.39488006231777667,0.43767303325696216,0.012879391253938145,-0.08235632365697113,-0.008177602292909626,-0.014203172079228221
198,True,0.112709218871196,0.20952658284322984,0.3608712705860101,0.5286065019149684,0.0074521444614008775,-0.08235632365697113,-0.007024068827956162,-0.016068481331286993
199,True,0.3138504133909905,0.20952658284322984,0.3198547137526953,0.5286065019149684,-0.0009622522412788352,-0.08235632365697113,-0.004063164373294658,-0.015485978086680691
200,True,0.2403677390970711,0.20952658284322984,0.2966362052287073,0.6050153193584596,-0.005891527399917235,-0.08235632365697113,-0.0029640675819500245,-0.015177242174924327
201,True,0.3175082231284515,0.20952658284322984,0.3171365365667918,0.6050153193584596,-0.013401961657495857,-0.08235632365697113,-0.00032125443259792513,-0.01185643890130439
202,True,0.1110663191614303,0.20952658284322984,0.3941253675956441,0.6050153193584596,-0.02070702028143437,-0.08235632365697113,0.0022492900027856187,-0.0038542786376267076
203,True,1.3886232123889397,0.20952658284322984,0.5004504929581799,0.6487603894284277,-0.018614639071530787,-0.08235632365697113,0.0011492112437130099,0.011555210723533348
204,True,0.6993927455098865,0.20952658284322984,0.4975101077443208,0.6487603894284277,-0.008707749010012582,-0.08235632365697113,-0.0023368800295507403,0.007451140710928554
205,True,2.478110061634026,0.20952658284322984,0.6196983044843408,0.6487603894284277,-0.012233586188227223,-0.08235632365697113,-0.0010961889406623149,0.04336238639565182
206,True,3.0384660448604293,0.20952658284322984,0.548884898411566,0.6487603894284277,-0.0011776316494949636,-0.08235632365697113,-0.004986619378039028,0.017066922987018007
207,True,0.5732304092953934,0.20952658284322984,0.4011305183538097,0.6487603894284277,0.017590310623011956,-0.08235632365697113,-0.011590786716833312,-0.01695048601117278
208,True,0.3814724448545241,0.20952658284322984,0.32607746333795984,0.6487603894284277,0.013210684291271443,-0.08235632365697113,-0.010049659578000705,-0.021194784129978134
209,True,0.6368002294215259,0.20952658284322984,0.2767660935030892,0.6511253446683277,0.008695399483330332,-0.08235632365697113,-0.00848046402142215,-0.021078311161316587
210,True,0.999560952055936,-0.08235632365697113,0.2273582027550017,0.6511253446683277,0.004956520172004391,-0.12855287548995037,-0.007167993164122971,-0.01967689329442565
211,True,0.4839825945345433,-0.08235632365697113,0.45100480725046166,0.6511253446683277,0.017411331419667043,-0.1747494273229296,-0.011553847713593522,-0.010268951347154477
212,True,1.709410682450313,-0.08235632365697113,0.5398580413316256,0.6650096203553735,0.02402162422364329,-0.1747494273229296,-0.013995380850324172,0.005671749339563971
213,True,1.9390188943481264,-0.08235632365697113,0.4274596461434424,0.6511253446683277,0.026967658599271194,-0.1747494273229296,-0.014916580980885469,-0.01707109905255899
214,True,0.1811376364544918,-0.08235632365697113,0.45068339566064175,0.6356737933083261,0.02989083590477142,-0.1747494273229296,-0.01581670399848637,-0.014582542805873067
215,True,0.1258979061827724,-0.08235632365697113,0.39463726244956804,0.6356737933083261,0.02203054866446786,-0.1747494273229296,-0.01305078264641583,-0.019101502283053066
216,True,0.3913634719793811,-0.08235632365697113,0.3123908045459538,0.6356737933083261,0.011644803695624076,-0.1747494273229296,-0.009396189259651145,-0.02111473771899968
217,True,0.2473372761215755,-0.08235632365697113,0.33555038706888735,0.6356737933083261,0.002685532770285648,-0.1747494273229296,-0.006243551449633741,-0.01691028667956681
218,True,0.0737798096065308,-0.08235632365697113,0.4474850287161915,0.6511253446683277,0.01105268611583367,-0.1747494273229296,-0.009316332432226198,-0.008581243753930719
219,True,0.2501140832274815,-0.08235632365697113,0.5723108808669222,0.6650096203553735,0.01784854103239419,-0.1747494273229296,-0.011823162191540879,0.016905124115596894
220,True,0.6879263651978502,-0.08235632365697113,0.42442549180845585,0.6667345840230665,0.00981390344405339,-0.1747494273229296,-0.009010234906641842,-0.011567896819759716
221,True,1.6479129699814394,-0.08235632365697113,0.297385256328442,0.6624455131030227,0.0026822567192100874,-0.1747494273229296,-0.006465042118896678,-0.018658585718468356
222,True,2.3165033402888286,-0.08235632365697113,0.28159695623800174,0.6624455131030227,0.0063850306789884435,-0.1747494273229296,-0.007767994701179947,-0.020296012796691444
223,True,0.2799792060559172,-0.08235632365697113,0.2573298598946198,0.6511253446683277,0.011557632315895497,-0.1747494273229296,-0.009494015694135079,-0.022226063231191
224,True,0.3741036588129668,-0.08235632365697113,0.2288352452833162,0.6511253446683277,0.0011404361596795848,-0.1747494273229296,-0.005828355089590554,-0.018359706652093355
225,True,0.9380622291571286,-0.1747494273229296,0.23376647895692163,0.6624455131030227,0.004287290959558486,-0.8486888724560053,-0.007076319337604167,-0.019674310634704945
226,True,1.5932624577465342,-0.1747494273229296,0.3230669665297147,0.6624455131030227,0.011019416426713943,-0.9874605529561129,-0.009454829468314777,-0.020737871155661582
227,True,0.784270366112631,-0.1747494273229296,0.21774978219275473,0.6511253446683277,0.008805142364799907,-0.9874605529561129,-0.008581515781018303,-0.02091698506499672
228,True,0.3211635503553184,-0.1747494273229296,0.19568894041634524,0.6511253446683277,0.005840659557310896,-0.9874605529561129,-0.007538357173144932,-0.019304869300808936
229,True,0.6607205494353297,-0.1747494273229296,0.16594249035681158,0.6624455131030227,0.00039461767524993886,-0.9874605529561129,-0.005716116514232988,-0.016374891706817694
230,True,0.3631134123823605,-0.1747494273229296,0.1904889465578211,0.6528503083360208,-0.006939312745864057,-0.9874605529561129,-0.0030556152607114358,-0.014655363629026474
231,True,0.3209513370309833,-0.1747494273229296,0.2649779988363397,0.6528503083360208,-0.0165578296333329,-0.9874605529561129,0.0003290016649766042,-0.012377716841835841
232,True,1.9984712440621184,-0.1747494273229296,0.3286517832604694,0.6528503083360208,-0.025479644607720862,-0.9874605529561129,0.00346845926779181,-0.007553368287628015
233,True,1.9742217077778537,-0.1747494273229296,0.22565385492088588,0.6528503083360208,-0.0069441032754544016,-0.9874605529561129,-0.0030539295426611182,-0.015535512968816275
234,True,0.6692986912754174,-0.1747494273229296,0.35951430058882067,0.6528503083360208,0.009055152148397016,-0.9874605529561129,-0.008683836038591164,-0.017828287450022788
235,True,1.026013479529178,-0.1747494273229296,0.29448182244399296,0.6528503083360208,0.004115944727259117,-0.9874605529561129,-0.006945800410785915,-0.019213316828900234
236,True,1.522225762946036,-0.1747494273229296,0.20054904835906848,0.6356737933083261,-0.003072990302063942,-0.9874605529561129,-0.004273271974406891,-0.016184705789685998
237,True,0.4650362202769034,-0.1747494273229296,0.2283766378149729,0.5683444273738734,-0.00609178458619756,-0.9874605529561129,-0.0026510661834648077,-0.015175568748377721
238,True,0.6415301399013258,-0.1747494273229296,0.29305423579355533,0.5683444273738734,-0.015473203384065323,-0.9874605529561129,0.0006501193549833131,-0.011651681761711087
239,True,0.5068714080324201,-0.1747494273229296,0.3009401690433624,0.5683444273738734,-0.018345441319195185,-0.9874605529561129,0.001660818326932827,-0.010434335874232873
240,True,2.6201541327982416,-1.5226283175890811,0.3254362621079155,0.6469939617430212,-0.022989690443674732,-0.9874605529561129,0.0026409839550639324,-0.008534080092465738
241,True,2.3771543066009095,-1.5226283175890811,0.2936345222967192,0.5467412248064355,-0.0157635993999129,-0.45229278832314473,0.0009688819947185314,-0.011319148304774712
242,True,0.6298174467153265,-1.5226283175890811,0.21575164092670215,0.5467412248064355,-0.003952295631487038,-0.45229278832314473,-0.0031873449076991836,-0.015480902115414441
243,True,0.3063766339385625,-1.5226283175890811,0.2586038552182565,0.43256153118521895,-0.009696257882112766,-0.45229278832314473,-0.00021656738964876126,-0.01294681452950542
244,True,0.4014580594728933,-1.5226283175890811,0.2248491510691597,0.5639177398341302,-0.004722832769883344,-0.45229278832314473,-0.0030590502511226394,-0.015527214128269875
245,True,0.0842559903236435,-1.5226283175890811,0.2564939334475475,0.6972518320041277,-0.002035672526243849,-0.45229278832314473,-0.0051134783910351915,-0.017846187611538417
246,True,0.0187140749492807,-1.5226283175890811,0.3205882423167228,0.6972518320041277,-0.014349876336880353,-0.45229278832314473,-0.0007802882400512733,-0.012171852755456453
247,True,2.832568915472258,-1.5226283175890811,0.435736937177687,0.6972518320041277,-0.02591357895755193,-0.45229278832314473,0.003288811400927545,0.002280069169058846
248,True,2.9528364431401526,-1.5226283175890811,0.3670133572097355,0.5639177398341302,-0.0192745412241433,-0.45229278832314473,0.002061485410267344,-0.006511014662587987
249,True,0.6641704767707157,-1.5226283175890811,0.24421287190748697,0.42344573581316647,-0.008792455440193206,-0.45229278832314473,-0.00045879208648525436,-0.013154645631166754
250,True,0.3646834415095534,-1.5226283175890811,0.3020356177359709,0.37779917921466843,-0.014911209945538951,-0.45229278832314473,0.0020739226400818757,-0.009989163338497713
251,True,0.9955334546718466,-1.5226283175890811,0.30495984803377374,0.42344573581316647,-0.01867416959027918,-0.45229278832314473,0.0030184401478070967,-0.008954971072000422
252,True,0.4636650028975446,-1.5226283175890811,0.3047913857305074,0.41532095993407303,-0.01947160238402409,-0.45229278832314473,0.0033666138333691077,-0.008612124923299809
253,True,0.0964384651854733,-1.5226283175890811,0.35867146192222055,0.37779917921466843,-0.02648222471623654,-0.45229278832314473,0.006145595320857864,-0.003060228966458585
254,True,2.0855925869246725,-1.5226283175890811,0.4248063094115342,0.37779917921466843,-0.035514341945435006,-0.45229278832314473,0.009323866691215502,0.0068163114349320715
255,True,2.156490994682001,-0.45229278832314473,0.39951209931692216,0.34217271109444486,-0.029754265886453968,0.20318165489627468,0.0076384772346484,0.0021029468632032117
256,True,0.1534421864616832,-0.45229278832314473,0.3172856588914684,0.34217271109444486,-0.007984520890293823,0.20318165489627468,-2.1981050548411816e-05,-0.011551140174579158
257,True,0.8026465308314003,-0.45229278832314473,0.31797086476307374,0.37779917921466843,0.0019479956362095155,0.20318165489627468,-0.0038133727127537442,-0.01531463815607733
258,True,0.914317412821515,-0.45229278832314473,0.2819587490209653,0.34217271109444486,-0.0025765019020650703,0.20318165489627468,-0.001924984685739632,-0.014447170997057954
259,True,0.2996271290425021,-0.45229278832314473,0.2431740687072954,0.3058003307654217,-0.006130772003739668,0.20318165489627468,-0.00037180237562056304,-0.013060612490859817
260,True,0.2387449994422045,-0.45229278832314473,0.2486335630916216,0.2822729227266305,-0.013328811993277515,0.20318165489627468,0.002356746325660368,-0.010362305453887465
261,True,0.3832264687287883,-0.45229278832314473,0.2938845979446132,0.34217271109444486,-0.012155803237451177,0.20318165489627468,0.0014458328545668272,-0.010836193138080707
262,True,2.85020059782679,-0.45229278832314473,0.32267146917231887,0.34217271109444486,-0.012224710900742897,0.20318165489627468,0.0014700804642779064,-0.009830580458974815
263,True,2.5417381555514775,-0.45229278832314473,0.3083341539065912,0.34217271109444486,0.007562774061166343,0.20318165489627468,-0.005492849195504586,-0.017355363463893755
264,True,0.7303331872375396,-0.45229278832314473,0.3602896392578057,0.34217271109444486,0.01886794398173539,0.20318165489627468,-0.009470974919938029,-0.018558452489834384
265,True,0.0045188754191036,-0.45229278832314473,0.3811509487529109,0.34217271109444486,0.02101160017863864,0.20318165489627468,-0.01022529651980415,-0.017590288096802773
266,True,0.0500089669875103,-0.45229278832314473,0.3280527815581709,0.39566108018025004,0.01427514026989751,0.20318165489627468,-0.008299662687357986,-0.019350622955518815
267,True,0.0923691408354784,-0.45229278832314473,0.3054047789654511,0.43318286089965463,0.009509149263764833,0.20318165489627468,-0.006934624332850539,-0.018893869566745557
268,True,0.886925082586062,-0.45229278832314473,0.3182542297241997,0.43318286089965463,0.0021380788224790166,0.20318165489627468,-0.004340851294044758,-0.015830481565238398
269,True,0.773132678350845,-0.45229278832314473,0.28569115975760906,0.39566108018025004,-0.0008886542540933056,0.20318165489627468,-0.0029637427940925093,-0.015420815928978638
270,True,0.3723718897005485,0.8586560981156941,0.2949638261787259,0.39566108018025004,0.0011433240840868235,0.13041821211123067,-0.003683785852891382,-0.015939416720430696
271,True,1.1878188318828486,0.8586560981156941,0.32167315485013365,0.43318286089965463,-6.460814810430698e-05,0.09110809157746597,-0.0035734885447594655,-0.014918110495272389
